,Asset Name,Description,Asset Owner,Category,Hosting,Note,	Safety Impact,Business Criticality,Confidentiality,Integrity,Availability, Value,Classification,IP Address,CVE ID,CVE Name,CVSS Score,Vulnerability Severity,Hosting1,security_description,Predefined Severity,risk_level,llm_justification
0,ABB 800xA SCADA Server,Power grid monitoring and control system,Energy Management,SCADA,Isolated Network,OPC UA without encryption (isolated control loop; internal use only),High,Mission Critical,High,High,High,12,Critical,192.168.1.10,CVE-2020-8476,Central Licensing Server component used in ABB products,7.5,HIGH,Isolated,"For the Central Licensing Server component used in ABB products ABB Ability™ System 800xA and related system extensions versions 5.1, 6.0 and 6.1, Compact HMI versions 5.1 and 6.0, Control Builder Safe 1.0, 1.1 and 2.0, Symphony Plus -S+ Operations 3.0 to 3.2 Symphony Plus -S+ Engineering 1.1 to 2.2, Composer Harmony 5.1, 6.0 and 6.1, Melody Composer 5.3, 6.1/6.2 and SPE for Melody 1.0SPx (Composer 6.3), Harmony OPC Server (HAOPC) Standalone 6.0, 6.1 and 7.0, ABB Ability™ System 800xA/ Advant® OCS Control Builder A 1.3 and 1.4, Advant® OCS AC100 OPC Server 5.1, 6.0 and 6.1, Composer CTK 6.1 and 6.2, AdvaBuild 3.7 SP1 and SP2, OPCServer for MOD 300 (non-800xA) 1.4, OPC Data Link 2.1 and 2.2, Knowledge Manager 8.0, 9.0 and 9.1, Manufacturing Operations Management 1812 and 1909, ABB AbilityTM SCADAvantage versions 5.1 to 5.6.5, a weakness in validation of input exists that allows an attacker to alter licenses assigned to the system nodes by sending specially crafted messages to the CLS web service.",Isolated,Medium,"The vulnerability allows altering licenses, which could impact process control. However, the asset is isolated, reducing the risk of exploitation without internal access."
1,Rockwell ControlLogix,Automotive assembly line motion control,Manufacturing Dept,PLC,Isolated Network,EtherCAT protocol exposed (internal VLAN only),High,Mission Critical,Low,Low,Low,6,Medium,192.168.1.20,CVE-2020- 6998,The connection establishment algorithm found in Rockwell Automation CompactLogix 5370 and ControlLogix 5570,8.6,HIGH,Isolated,"The connection establishment algorithm found in Rockwell Automation CompactLogix 5370 and ControlLogix 5570 versions 33 and prior does not sufficiently manage its control flow during execution, creating an infinite loop. This may allow an attacker to send specially crafted CIP packet requests to a controller, which may cause denial-of-service conditions in communications with other products.",Isolated,Medium,"A DoS vulnerability could disrupt communications, but the asset is isolated, mitigating the risk."
2,Schneider Electric HMI,Gas pipeline operator interface and control,Plant Operations,HMI,Control Room,Default credentials (admin/admin â€“ air-gapped network; update advised),Medium,Business Critical,Medium,Medium,High,9,High,192.168.2.30,CVE-2019- 6833,Improper Check for Unusual or Exceptional Conditions vulnerability exists in Magelis HMI,6.8,MEDIUM,Anything,"A CWE-754 – Improper Check for Unusual or Exceptional Conditions vulnerability exists in Magelis HMI Panels (all versions of - HMIGTO, HMISTO, XBTGH, HMIGTU, HMIGTUX, HMISCU, HMISTU, XBTGT, XBTGT, HMIGXO, HMIGXU), which could cause a temporary freeze of the HMI when a high rate of frames is received. When the attack stops, the buffered commands are processed by the HMI panel.",High,Low,"Temporary HMI freeze doesn't affect control logic, posing low risk despite medium criticality."
3,Emerson Rosemount Sensor,Pressure monitoring in LNG plant,Facilities Management,Sensors/Actuators,Field Device,Unencrypted HART protocol (non-critical process; isolated network),Low,Non Critical,Low,Low,Low,4,Low,192.168.1.1,CVE-2023- 46687,unauthenticated user with network access could execute arbitrary commands in root,9.8,CRITICAL,Anything,"In Emerson Rosemount GC370XA, GC700XA, and GC1500XA products, an unauthenticated user with network access could execute arbitrary commands in root context from a remote computer.",Medium,Medium,Unauthenticated RCE on a low criticality asset is medium risk due to isolation.
4,OSIsoft PI Historian Server,"Industrial data logging, analytics, and reporting",Safety Team,Historian Server,Integrated with IT,Unpatched .NET framework (internal network only; critical vulnerability),Medium,Business Critical,High,Medium,High,10,High,192.168.1.50,CVE-2018-19006,The application contains a cross-site scripting vulnerability,4.8,MEDIUM,Anything,"OSIsoft PI Vision, versions PI Vision 2017, and PI Vision 2017 R2, The application contains a cross-site scripting vulnerability where displays that reference AF elements and attributes containing JavaScript are affected. This vulnerability requires the ability of authorized AF users to store JavaScript in AF elements and attributes.",High,Medium,XSS in PI Vision is medium risk as it's integrated with IT but doesn't directly impact safety.
5,Siemens S7-1500 PLC,Refinery process control system,Manufacturing Dept,PLC,Field Device,Profinet protocol (air-gapped OT network; no external exposure),High,Mission Critical,Low,Medium,High,9,High,192.168.1.200,CVE-2022- 38465,A vulnerability has been identified in SIMATIC Drive Controller family,7.8,HIGH,Anything,"A vulnerability has been identified in SIMATIC Drive Controller family (All versions < V2.9.2), SIMATIC ET 200SP Open Controller CPU 1515SP PC (incl. SIPLUS variants) (All versions), SIMATIC ET 200SP Open Controller CPU 1515SP PC2 (incl. SIPLUS variants) (All versions < V21.9), SIMATIC S7-1200 CPU family (incl. SIPLUS variants) (All versions < V4.5.0), SIMATIC S7-1500 CPU family (incl. related ET200 CPUs and SIPLUS variants) (All versions < V2.9.2), SIMATIC S7-1500 Software Controller (All versions < V21.9), SIMATIC S7-PLCSIM Advanced (All versions < V4.0), SINUMERIK MC (All versions < V6.21), SINUMERIK ONE (All versions < V6.21). Affected products  protect the built-in global private key in a way that cannot be considered sufficient any longer. The key is used for the legacy protection of confidential configuration data and the legacy PG/PC and HMI communication.

This could allow attackers to discover the private key of a CPU product family by an offline attack against a single CPU of the family. Attackers could then use this knowledge to extract confidential configuration data from projects that are protected by that key or to perform attacks against legacy PG/PC and HMI communication.",Critical,High,"Exposure of private keys in isolated, high criticality assets poses a high risk to project data."
6,Yokogawa CENTUM VP,Nuclear reactor control and safety system,Safety Team,SCADA,Isolated Network,FTP server active (internal data logging; air-gapped),High,Mission Critical,High,High,High,12,Critical,192.168.1.150,CVE-2023- 26593,CENTUM series provided by Yokogawa Electric Corporation are vulnerable to cleartext storage of sensitive information.,7.8,HIGH,Isolated,"CENTUM series provided by Yokogawa Electric Corporation are vulnerable to cleartext storage of sensitive information. If an attacker who can login or access the computer where the affected product is installed tampers the password file stored in the computer, the user privilege which CENTUM managed may be escalated. As a result, the control system may be operated with the escalated user privilege. To exploit this vulnerability, the following prerequisites must be met: (1)An attacker has obtained user credentials where the affected product is installed, (2)CENTUM Authentication Mode is used for user authentication when CENTUM VP is used. The affected products and versions are as follows: CENTUM CS 1000, CENTUM CS 3000 (Including CENTUM CS 3000 Entry Class) R2.01.00 to R3.09.50, CENTUM VP (Including CENTUM VP Entry Class) R4.01.00 to R4.03.00, R5.01.00 to R5.04.20, and R6.01.00 and later, B/M9000 CS R5.04.01 to R5.05.01, and B/M9000 VP R6.01.01 to R7.04.51 and R8.01.01 and later",Isolated,High,"Cleartext storage in isolated, critical assets with high safety impact is high risk."
7,Mitsubishi FX5U PLC,Water treatment plant automation logic,Utilities Dept,PLC,Isolated Network,MELSEC protocol on port 5007 (air-gapped OT network),Medium,Business Critical,Medium,Medium,High,9,High,192.168.2.40,CVE-2022- 25160,Cleartext Storage of Sensitive Information vulnerability in Mitsubishi Electric MELSEC iQ-F series FX5U(C) CPU all versions,5.9,MEDIUM,Isolated,"Cleartext Storage of Sensitive Information vulnerability in Mitsubishi Electric MELSEC iQ-F series FX5U(C) CPU all versions, Mitsubishi Electric MELSEC iQ-F series FX5UJ CPU all versions, Mitsubishi Electric MELSEC iQ-R series R00/01/02CPU all versions, Mitsubishi Electric MELSEC iQ-R series R04/08/16/32/120(EN)CPU all versions, Mitsubishi Electric MELSEC iQ-R series R08/16/32/120SFCPU all versions, Mitsubishi Electric MELSEC iQ-R series R08/16/32/120PCPU all versions, Mitsubishi Electric MELSEC iQ-R series R08/16/32/120PSFCPU all versions, Mitsubishi Electric MELSEC iQ-R series R16/32/64MTCPU all versions, Mitsubishi Electric MELSEC iQ-R series RJ71C24(-R2/R4) all versions, Mitsubishi Electric MELSEC iQ-R series RJ71EN71 all versions, Mitsubishi Electric MELSEC iQ-R series RJ72GF15-T2 all versions, Mitsubishi Electric MELSEC Q series Q03/04/06/13/26UDVCPU all versions, Mitsubishi Electric MELSEC Q series Q04/06/13/26UDPVCPU all versions, Mitsubishi Electric MELSEC Q series QJ71C24N(-R2/R4) all versions and Mitsubishi Electric MELSEC Q series QJ71E71-100 all versions allows a remote unauthenticated attacker to disclose a file in a legitimate user's product by using previously eavesdropped cleartext information and to counterfeit a legitimate user’s system.",Isolated,Medium,"Cleartext file disclosure in isolated, high criticality assets is medium risk."
8,Phoenix Contact Switch,Substation network backbone and redundancy,Network Engineering,Industrial Network Device,Isolated Network,SNMPv3 misconfigured (internal monitoring only),Medium,Business Critical,Medium,High,High,10,High,192.168.1.11,CVE-2018- 10728,"All Phoenix Contact managed FL SWITCH 3xxx, 4xxx, 48xx products running firmware version 1.0 to 1.33 are prone to buffer overflows",8.1,HIGH,Isolated,"All Phoenix Contact managed FL SWITCH 3xxx, 4xxx, 48xx products running firmware version 1.0 to 1.33 are prone to buffer overflows (a different vulnerability than CVE-2018-10731).",Isolated,Medium,"Buffer overflow in isolated, high criticality assets is medium risk."
9,Omron NJ501 Controller,Pharmaceutical packaging line automation,Quality Assurance,PLC,Isolated Network,FINS protocol exposed (no external exposure),Medium,Business Critical,Medium,Medium,Medium,8,High,192.168.2.31,CVE-2022-33208,Authentication bypass by capture-replay vulnerability exists in Machine automation controller,8.1,HIGH,Isolated,"Authentication bypass by capture-replay vulnerability exists in Machine automation controller NJ series all models V 1.48 and earlier, Machine automation controller NX7 series all models V1.28 and earlier, Machine automation controller NX1 series all models V1.48 and earlier, Automation software 'Sysmac Studio' all models V1.49 and earlier, and Programmable Terminal (PT) NA series NA5-15W/NA5-12W/NA5-9W/NA5-7W models Runtime V1.15 and earlier, which may allow a remote attacker who can analyze the communication between the affected controller and automation software 'Sysmac Studio' and/or a Programmable Terminal (PT) to access the controller.",Isolated,Medium,"Authentication bypass in isolated, high criticality assets is medium risk."
